id,second_annotator_comment,annotation,aspect_available_without_judgement,text
f0a7538c-3f56-49b9-913b-2c5a7079cae4,,"('SERVICE', 'NEGATIVE', 'NULL')
",,"Dass man aber 5 Minuten warten muss, bis jemandem ein Kellner erklärt, dass man einen Engpass hat, ist dann schon ein starkes Stück."
f38259a0-a0d6-4dbe-90e6-1ae1ad8c9ccb,,"('FOOD', 'NEGATIVE', 'Schinkennummer')
",,"Die kostenpflichtige Schinkennummer wird auch nicht dadurch besser, dass sie von den Vorbesitzern erfunden wurde."
813d4c0f-5318-4c69-bfe8-01b5bb795d6c,,,✅,Unten war alles frei.
c30d4932-388a-49bf-88bc-ca3cbfd7def2,,"('FOOD', 'NEUTRAL', 'Essen')
",,Auch für die anderen Begleiter war das Essen ok.
ca63c88b-a679-478a-8e3a-13ddf5c84da7,,"('GENERAL-IMPRESSION', 'POSITIVE', 'NULL')
",,"Vielen Dank, wir kommen sehr gerne wieder !"
6a9ccf84-c698-4703-8d7f-e0c8f5fc7443,,,✅,Ich habe den Biergarten um 21:15 Uhr betreten.
44affd39-c486-4d79-9ecd-bcd0f61e61f0,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,"Vorspeise war der Salat auch nicht, sondern kam parallel zum Hauptgang, der leider kalt war.Die Servicekraft war maßlos überfordert."
5f1f954c-c4bc-4c54-9612-526973cf7d62,,⚠️ Mehr als 1 Satz im Text identifiziert von Annoator A,,Toller Blick über LOC.Der Burger war Medium anstatt wie bestellt well done.
3bd8e132-4590-4fe0-8685-d0f1bd94de3a,,"('SERVICE', 'POSITIVE', 'Bedienung')
('AMBIENCE', 'POSITIVE', 'Bierkeller')
",,Ein gemütlicher Bierkeller mit freundlicher und flotter Bedienung.
44f8071f-17f1-483f-919c-de471982f30e,,"('SERVICE', 'POSITIVE', 'NULL')
",,Wir wurden rundherum bestens bedient.
eadf1271-4e8f-4360-9453-5b172ce95867,,"('GENERAL-IMPRESSION', 'NEGATIVE', 'NULL')
",,"Eigentlich schade, es bleibt nur noch eine schöne Erinnerung (Es war einmal ein LOC……."
